StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RecaptchaAssessmentName,time_consent_form_First Click,time_consent_form_Last Click,time_consent_form_Page Submit,time_consent_form_Click Count,attention_check_1,time_attention_1_First Click,time_attention_1_Last Click,time_attention_1_Page Submit,time_attention_1_Click Count,attention_check_2,time_attention_2_First Click,time_attention_2_Last Click,time_attention_2_Page Submit,time_attention_2_Click Count,time_before_reading_First Click,time_before_reading_Last Click,time_before_reading_Page Submit,time_before_reading_Click Count,time_read_round_First Click,time_read_round_Last Click,time_read_round_Page Submit,time_read_round_Click Count,time_read_precise_First Click,time_read_precise_Last Click,time_read_precise_Page Submit,time_read_precise_Click Count,time_before_recall_First Click,time_before_recall_Last Click,time_before_recall_Page Submit,time_before_recall_Click Count,recall_trap_1,time_recall_trap_First Click,time_recall_trap_Last Click,time_recall_trap_Page Submit,time_recall_trap_Click Count,recall_enroll_1,recall_enroll_2,recall_hondura_1,recall_hondura_2,recall_frick_1,recall_frick_2,time_recall_First Click,time_recall_Last Click,time_recall_Page Submit,time_recall_Click Count,time_before_calc_First Click,time_before_calc_Last Click,time_before_calc_Page Submit,time_before_calc_Click Count,calculate_enroll,calculate_hondura,calculate_frick,time_calculate_First Click,time_calculate_Last Click,time_calculate_Page Submit,time_calculate_Click Count,condition,workerId,assignmentId,hitId,random_verification_code,fail_first_attention,fail_second_attention
7/23/21 17:21,7/23/21 17:27,100,329,TRUE,7/23/21 17:27,R_3fOuIfzTmtzuWHo,,,,,anonymous,EN,0.800000012,projects/513998946275/assessments/9b42d1eec8000000,0,0,33.296,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",16.247,25.31,27.562,8,,,,,,0,0,3.585,0,6.474,24.545,125.324,3,,,,,0,0,4.323,0,39000000,3.393,9.77,21.161,2,30000,40000,300000,500000,40000,4000,3.87,29.048,31.863,6,0,0,9.365,0,75,200000,10,2.361,13.109,15.1,3,round,,,,168591,,
7/23/21 17:24,7/23/21 17:27,100,188,TRUE,7/23/21 17:27,R_cT0A8oWXwJ4m9Zn,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/819abad070000000,0,0,3.855,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",5.182,21.111,24.626,6,,,,,,0,0,0.927,0,,,,,4.037,6.744,7.873,2,0,0,2.441,0,39000000,11.918,19.677,28.733,2,30000,45000,300000,600000,60000,7000,7.462,44.584,53.076,3,0,0,1.465,0,15,300000,10,13.629,40.238,55.672,5,precise,,,,158610,,
7/23/21 17:13,7/23/21 17:28,100,912,TRUE,7/23/21 17:28,R_r0wUcfFeEcWacyR,,,,,anonymous,EN,1,projects/513998946275/assessments/ba73231ba0000000,1.09,1.09,30.741,1,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",35.571,47.004,74.294,4,,,,,,0,0,9.681,0,,,,,17.001,17.001,165.801,1,0,0,83.78,0,39000000,25.201,25.201,104.728,1,29000,40000,290000,500000,40000,4000,1.416,175.422,184.683,11,0,0,16.825,0,50,200000,15,51.833,224.485,231.674,5,precise,,,,154411,,
7/23/21 17:23,7/23/21 17:28,100,357,TRUE,7/23/21 17:28,R_1lyHqmDcSwYCi2B,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/09b53ad070000000,2.716,14.565,16.039,14,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",10.341,30.272,31.396,12,,,,,,0,0,5.133,0,22.773,113.699,114.379,68,,,,,0,0,9.778,0,39000000,2.801,13.762,15.477,5,30000,40000,10000,50000,40000,4000,5.737,84.286,86.775,50,3.886,3.886,4.741,1,75,20000,10,11.348,52.24,52.805,23,round,,,,151303,,
7/23/21 17:25,7/23/21 17:29,100,235,TRUE,7/23/21 17:29,R_1QzQcKXDGGHtDp1,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/ab943ad070000000,0,0,2.59,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",5.094,20.926,25.334,5,,,,,,0,0,0.697,0,77.363,79.8,80.06,4,,,,,0,0,2.161,0,39000000,3.258,9.55,20.54,3,30000,40000,200000,300000,40000,4000,2.367,43.383,62.33,6,0,0,1.812,0,75,100000,10,1.646,25.878,33.452,3,round,,,,195965,,
7/23/21 17:27,7/23/21 17:29,100,85,TRUE,7/23/21 17:29,R_1jBM90Kgj1JXEr6,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/d9587ad070000000,0,0,6.552,0,This study is a psychology experiment and I'm not being paid based on the correctness of my answers,3.853,6.623,13.354,2,This study is a psychology experiment and I'm not being paid based on the correctness of my answers,2.271,2.271,5.504,1,0,0,1.563,0,,,,,0,0,4.332,0,0,0,1.747,0,1,0,0,4.047,0,1,2,1,2,3,4,0,0,8.182,0,0,0,2.254,0,50,2,50,0,0,12.94,0,precise,,,,177514,1,1
7/23/21 17:22,7/23/21 17:30,100,442,TRUE,7/23/21 17:30,R_2BtXhUdZmiQq4dM,,,,,anonymous,EN,1,projects/513998946275/assessments/9fa23ad070000000,0,0,26.172,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",16.03,34.559,46.146,4,,,,,,0,0,4.223,0,0,0,182.158,0,,,,,0,0,7.491,0,39000000,6.109,6.109,28.187,1,30000,40000,300000,500000,40000,4000,9.514,60.998,67.322,6,0,0,13.051,0,75,200000,10,9.757,51.815,57.077,3,round,,,,191830,,
7/23/21 17:26,7/23/21 17:31,100,332,TRUE,7/23/21 17:31,R_bsijetoy0l995UB,,,,,anonymous,EN,1,projects/513998946275/assessments/37babad070000000,0,0,4.081,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",17.051,31.634,38.186,6,,,,,,0,0,3.115,0,0,0,84.037,0,,,,,0,0,9.379,0,30000000,15.204,39.453,54.121,2,30000,40000,300000,500000,4000,2000,4.109,42.399,48.387,8,0,0,5.868,0,80,200000,25,6.157,67.426,71.26,8,round,,,,132757,,
7/23/21 17:28,7/23/21 17:32,100,234,TRUE,7/23/21 17:32,R_2WMbBYkYL7ue0KO,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/5da006d070000000,1.46,1.906,2.833,2,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",8.556,19.646,27.474,7,,,,,,0.978,0.978,2.527,1,2.946,43.193,52.12,15,,,,,0,0,1.94,0,39613493,4.501,38.74,41.153,3,30000,40000,300000,500000,40000,4000,1.2,64.068,65.444,26,0,0,2.497,0,80,200000,10,4.008,24.012,27.923,12,round,,,,182867,,
7/23/21 17:27,7/23/21 17:32,100,285,TRUE,7/23/21 17:32,R_12r20nUujY1BpaP,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/a2f97ad070000000,0,0,2.572,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",13.791,18.375,20.102,4,,,,,,0,0,2.176,0,,,,,28.449,28.449,44.918,1,0,0,3.183,0,39613400,1.145,1.145,46.508,1,28752,41000,282000,487700,40000,3700,9.009,61.858,82.943,3,0,0,4.868,0,50,52,8,21.466,62.816,68.332,5,precise,,,,172949,,
7/23/21 17:27,7/23/21 17:33,100,328,TRUE,7/23/21 17:33,R_XA1zJxfyqO7bcRj,,,,,anonymous,EN,1,projects/513998946275/assessments/710ff1eec8000000,0,0,29.045,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",32.792,76.19,77.267,4,,,,,,0,0,1.119,0,,,,,0,0,90.57,0,0,0,2.532,0,39534000,2.398,2.398,13.907,1,6000,100000,234000,434000,20000,2000,3.124,43.421,47.953,6,3.818,3.818,5.561,1,20,200000,15,5.257,37.318,44.217,4,precise,,,,184830,,
7/23/21 17:28,7/23/21 17:33,100,276,TRUE,7/23/21 17:33,R_3n6MlQ19dGCZtig,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/fdf189eec8000000,35.359,35.359,36.761,1,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet",11.795,25.515,27.519,4,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",3.463,29.758,34.615,5,1.995,1.995,3,1,3.597,55.087,73.196,2,,,,,0,0,3.922,0,3000000,4.105,4.105,13.201,1,10000,8000,30000,10000,5000,2000,10.131,49.836,50.798,7,0,0,3.304,0,20,25,30,5.051,15.518,17.884,3,round,,,,166234,1,
7/23/21 17:31,7/23/21 17:35,100,275,TRUE,7/23/21 17:35,R_BQjzkQS3oz1VZcJ,,,,,anonymous,EN,1,projects/513998946275/assessments/6c3146d070000000,1.768,6.352,8.333,6,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",14.939,18.989,20.802,4,,,,,,0,0,1.961,0,,,,,15.057,116.289,116.938,34,0,0,3.345,0,40000000,4.531,19.815,25.66,4,28000,41000,280000,450000,40000,3195,6.201,45.634,46.411,14,0,0,5.453,0,55,48,12,2.054,26.136,34.231,6,precise,,,,170035,,
7/23/21 17:32,7/23/21 17:36,100,285,TRUE,7/23/21 17:36,R_3JEGs0fIY2uWiLI,,,,,anonymous,EN,1,projects/513998946275/assessments/935846d070000000,22.571,22.571,28.189,1,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",6.087,12.477,14.123,4,,,,,,0,0,0.939,0,,,,,0.343,49.167,101.016,2,0,0,1.107,0,20000000,3.437,3.437,26.861,1,28000,43000,282000,487000,50000,10000,0.674,59.07,70.295,9,0,0,1.303,0,45,250000,10,6.311,29.964,30.237,7,precise,,,,113869,,
7/23/21 17:30,7/23/21 17:36,100,387,TRUE,7/23/21 17:36,R_2e5oYivIbQYmPeC,,,,,anonymous,EN,1,projects/513998946275/assessments/26e686d070000000,0,0,102.411,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",9.7,17.07,17.97,4,,,,,,0,0,3.903,0,,,,,0,0,104.767,0,0,0,3.526,0,489000000,5.189,17.266,29.691,2,28000,49000,5000,8000,40000,3000,4.242,53.951,59.03,7,0,0,4.044,0,50,7000,10,4.454,39.849,52.993,3,precise,,,,119342,,
7/23/21 17:34,7/23/21 17:39,100,313,TRUE,7/23/21 17:39,R_6i0Phsy8sz8afGV,,,,,anonymous,EN,1,projects/513998946275/assessments/8afb06d070000000,2.539,2.539,12.515,1,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",16.618,28.142,35.432,4,,,,,,0,0,2.21,0,0.943,0.943,99.718,1,,,,,0,0,5.903,0,36000000,0.573,37.724,38.73,9,30000,40000,300000,500000,40000,4000,0.779,41.759,44.07,11,0,0,7.563,0,75,200000,4,0.605,55.741,58.05,8,round,,,,149630,,
7/23/21 17:31,7/23/21 17:41,100,644,TRUE,7/23/21 17:41,R_p4LE4zasbDBm5fX,,,,,anonymous,EN,1,projects/513998946275/assessments/eab246d070000000,31.722,49.189,56.417,10,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",24.788,56.363,61.941,6,,,,,,0,0,4.753,0,7.703,116.954,157.47,45,,,,,0,0,9.837,0,36613213,13.764,36.987,56.731,2,30000,40000,2000000,3000000,30,17,3.199,167.5,170.272,61,0,0,10.097,0,75,1000000,60,2.872,99.063,102.503,25,round,,,,123425,,
7/23/21 17:38,7/23/21 17:42,100,227,TRUE,7/23/21 17:42,R_1oAB1gwSjfBVSNt,,,,,anonymous,EN,1,projects/513998946275/assessments/642826d070000000,0,0,12.508,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",15.078,38.243,45.283,5,,,,,,0,0,0.7,0,0,0,31.973,0,,,,,0,0,5.192,0,39000000,10.382,10.382,26.12,1,30000,50000,200000,500000,50000,5000,4.4,39.799,50.716,5,0,0,4.653,0,80,25,100,1.69,32.89,41.183,5,round,,,,101554,,
7/23/21 17:34,7/23/21 17:43,100,514,TRUE,7/23/21 17:43,R_yQKuWAzgrHM4Ma5,,,,,anonymous,EN,1,projects/513998946275/assessments/560286d070000000,0,0,75.651,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",33.495,51.429,52.721,4,,,,,,0,0,3.97,0,,,,,0,0,181.615,0,0,0,7.645,0,36450310,10.11,10.11,40.504,1,2500,14325,210679,425380,14000,2000,3.932,80.166,88.579,10,0,0,4.672,0,20,48,15,5.35,47.661,49.547,7,precise,,,,116947,,
7/23/21 17:33,7/23/21 17:43,100,611,TRUE,7/23/21 17:43,R_1mVqiTM25KxdYgy,,,,,anonymous,EN,1,projects/513998946275/assessments/d43a06d070000000,0,0,357.058,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",9.733,17.783,19.407,6,,,,,,0,0,0.936,0,,,,,0,0,102.61,0,0,0,4.301,0,5000000,12.982,12.982,25.574,1,27000,84000,14000,34000,40000,4000,7.824,37.459,43.096,6,0,0,5.115,0,33,25000,10,2.051,42.91,45.197,4,precise,,,,153494,,
7/23/21 17:37,7/23/21 17:45,100,469,TRUE,7/23/21 17:45,R_2ZOIvo6PodY8H3X,,,,,anonymous,EN,1,projects/513998946275/assessments/e70329eec8000000,0,0,106.704,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",11.743,18.83,20.936,5,,,,,,0,0,2.248,0,0,0,200.084,0,,,,,0,0,6.527,0,3600000,7.128,19.107,27.394,4,30000,40000,300000,500000,40000,4000,2.458,49.666,54.759,13,0,0,7.032,0,75,66,10,1.086,29.581,34.695,4,round,,,,187712,,
7/23/21 17:42,7/23/21 17:45,100,174,TRUE,7/23/21 17:45,R_2SeoDZ7Fp5poU3B,,,,,anonymous,EN,1,projects/513998946275/assessments/db05d9eec8000000,3.43,3.43,5.327,1,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",5.694,27.678,29.862,5,,,,,,0,0,1.225,0,,,,,29.944,29.944,31.321,1,1.567,1.567,2.441,1,19000,1.44,1.44,6.472,1,12000,2000,128000,200000,2000,10,2.857,44.585,48.097,11,0,0,1.739,0,3,30000,2,0.788,30.033,33.531,4,precise,,,,186639,,
7/23/21 17:44,7/23/21 17:46,100,89,TRUE,7/23/21 17:46,R_00tk1dVx6vCew7L,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/188f96d070000000,0,0,6.221,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see,I'm supposed to type random answers, not my best guesses",1.179,3.774,6.589,5,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",1.163,4.996,6.477,6,0,0,3.979,0,0,0,3.288,0,,,,,0,0,1.223,0,1000,1.147,1.147,4.215,1,1000,1000,10000000,10000000,1000,1000,2.516,26.888,31.893,4,0,0,2.166,0,5,100,10,1.457,1.457,14.094,1,round,,,,138540,1,
7/23/21 17:42,7/23/21 17:46,100,248,TRUE,7/23/21 17:46,R_3so8U357mg71uao,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/5331b31ba0000000,14.126,24.055,25.117,6,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",14.822,22.69,24.179,4,,,,,,0,0,2.121,0,6.585,79.478,101.44,10,,,,,0,0,3.541,0,38000000,2.454,2.454,17.472,1,30000,40000,300000,500000,40000,4000,4.617,23.917,36.164,6,0,0,2.848,0,75,200000,10,1.81,21.849,26.494,5,round,,,,143914,,
7/23/21 17:42,7/23/21 17:46,100,260,TRUE,7/23/21 17:46,R_1N9Gk4jrQ7ALKhP,,,,,anonymous,EN,0.800000012,projects/513998946275/assessments/e0bd331ba0000000,3.925,3.925,8.626,1,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",9.132,18.71,22.33,4,,,,,,0,0,0.796,0,19.998,86.477,87.756,7,,,,,0,0,2.356,0,39000000,7.282,7.282,23.488,1,30000,40000,300000,500000,75000,20000,2.5,72.15,72.102,12,0,0,3.194,0,75,200000,20,2.885,23.655,27.15,6,round,,,,112059,,
7/23/21 17:43,7/23/21 17:46,100,229,TRUE,7/23/21 17:46,R_26mSM7hlPB5bGUF,,,,,anonymous,EN,1,projects/513998946275/assessments/a0ad16d070000000,0,0,3.107,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",15.5,29.156,35.226,4,,,,,,0,0,3.434,0,0,0,78.396,0,,,,,0,0,3.407,0,39000000,2.332,2.332,16.084,1,3000,4000,3000000,5000000,4000,400,3.934,41.667,47.826,8,0,0,4.212,0,75,200000,10,8.055,24.584,27.868,3,round,,,,180248,,
7/23/21 17:40,7/23/21 17:47,100,428,TRUE,7/23/21 17:47,R_3ixllGgyEItCl01,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/0b1be6d070000000,0,0,3.816,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",10.581,23.035,29.223,6,,,,,,0,0,2.68,0,36.812,56.892,168.596,3,,,,,0,0,7.829,0,39000000,26.254,26.254,30.479,1,30000,40000,200000,500000,40000,4000,8.99,87.536,90.851,9,7.854,8.27,17.284,2,90,300000,10,12.05,53.476,56.984,4,round,,,,107057,,
7/23/21 17:43,7/23/21 17:47,100,253,TRUE,7/23/21 17:47,R_783lr3tIwedQMdr,,,,,anonymous,EN,1,projects/513998946275/assessments/8be716d070000000,0,0,10.632,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",9.869,30.267,31.966,7,,,,,,0,0,1.616,0,2.935,3.719,93.247,2,,,,,0,0,3.506,0,36497865,5.551,5.551,18.174,1,30000,40000,300000,500000,3000,3000,3.568,32.349,35.887,7,0,0,2.512,0,75,200000,30,3.823,41.371,45.757,7,round,,,,160524,,
7/23/21 17:42,7/23/21 17:47,100,272,TRUE,7/23/21 17:47,R_1gLn03KpV6IIrqz,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/8dafe6d070000000,2.741,13.924,13.976,3,"I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",7.452,56.508,57.525,10,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",4.301,21.16,21.601,7,0,0,1.99,0,,,,,1.25,50.742,59.408,14,0,0,4.226,0,39000000,2.69,5.401,10.7,4,29000,41000,250000,400000,25000,3000,1.22,41.273,45.354,12,0,0,3.778,0,67,150000,12,5.877,23.159,29.918,5,precise,,,,103817,1,
7/23/21 17:39,7/23/21 17:48,100,545,TRUE,7/23/21 17:48,R_1Cg76m7YU3QrmuA,,,,,anonymous,EN,1,projects/513998946275/assessments/5d0fd31ba0000000,7.033,9.933,11.839,3,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",18.866,28.108,29.956,4,,,,,,5.968,174.804,176.179,3,,,,,0,0,105.462,0,0,0,7.822,0,60000000,1.895,1.895,71.033,1,28738,41873,283000,487000,40000,3741,9.3,63.644,65.752,10,0,0,5.234,0,70,195000,9,2.034,50.21,63.898,5,precise,,,,138585,,
7/23/21 17:33,7/23/21 17:48,100,873,TRUE,7/23/21 17:48,R_1l6vPZLfmRDeini,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/192c86d070000000,1.418,1.418,4.944,1,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",25.9,38.55,41.627,4,,,,,,0,0,4.785,0,3.584,172.525,173.85,19,,,,,0,0,8.038,0,39000000,17.593,17.593,29.539,1,30000,40000,300000,500000,40000,4000,8.383,472.792,478.123,12,0,0,8.337,0,30,200000,10,13.794,113.322,114.101,6,round,,,,101027,,
7/23/21 17:44,7/23/21 17:48,100,277,TRUE,7/23/21 17:48,R_2PhXgDs94uHBmda,,,,,anonymous,EN,1,projects/513998946275/assessments/117d331ba0000000,0,0,3.031,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",11.45,23.669,26.013,8,,,,,,0,0,2.162,0,,,,,0,0,108.298,0,0,0,6.368,0,200000000,8.903,20.839,37.895,2,10000,50000,200000,400000,1000,1000,3.018,47.662,52.239,8,0,0,7.237,0,10,20,100,7.215,19.3,22.987,3,precise,,,,176505,,
7/23/21 17:45,7/23/21 17:48,100,204,TRUE,7/23/21 17:48,R_2bVoYhUmy0Jp8qK,,,,,anonymous,EN,1,projects/513998946275/assessments/d1770b1ba0000000,0,0,16.942,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",3.677,19.717,24.128,8,,,,,,0,0,0.832,0,,,,,0,0,23.753,0,0,0,4.613,0,5000000,7.493,50.623,60.089,2,3000,2000,15000,20000,20,30,2.779,40.445,41.167,8,0,0,1.307,0,78,10000,7,1.327,13.044,18.447,3,precise,,,,168994,,
7/23/21 17:37,7/23/21 17:48,100,667,TRUE,7/23/21 17:48,R_1FKZgm0lzk1GDh1,,,,,anonymous,EN,1,projects/513998946275/assessments/1e83a6d070000000,0,0,21.325,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet",9.858,25.07,40.567,3,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",1.337,6.408,9.818,5,0,0,2.739,0,,,,,0,0,452.577,0,0,0,3.769,0,7543078,1.384,1.384,31.176,1,20856,40567,238453,435087,32000,1427,2.777,43.173,54.096,5,0,0,5.059,0,52,58,6,4.809,28.034,32.711,3,precise,,,,117975,1,
7/23/21 17:43,7/23/21 17:50,100,386,TRUE,7/23/21 17:50,R_XgCjkRfoxECU46d,,,,,anonymous,EN,1,projects/513998946275/assessments/da3596d070000000,0,0,2.499,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",15.267,22.804,25.078,4,,,,,,0,0,1.811,0,,,,,48.02,48.02,136.871,1,0,0,4.266,0,4000000,24.72,33.165,39.186,2,24000,50000,32000,70000,14000,3000,9.675,130.406,131.427,17,0,0,6.016,0,70,80,30,3.721,22.914,30.707,5,precise,,,,140243,,
7/23/21 17:41,7/23/21 17:50,100,575,TRUE,7/23/21 17:50,R_1q9igIN4Z49Viif,,,,,anonymous,EN,1,projects/513998946275/assessments/5dc5e6d070000000,0,0,4.741,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",14.159,18.247,23.093,4,,,,,,0,0,1.085,0,3.372,239.836,241.258,31,,,,,0,0,5.243,0,39600000,26.46,26.46,41.432,1,40000,30000,300000,500000,40000,4000,20.288,63.556,70.49,6,0,0,5.796,0,75,200000,10,2.687,170.778,172.497,33,round,,,,176131,,
7/23/21 17:44,7/23/21 17:50,100,361,TRUE,7/23/21 17:50,R_3efOzOkr2G4QC0G,,,,,anonymous,EN,0.899999976,projects/513998946275/assessments/621396d070000000,3.3,4.871,7.259,3,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",21.16,48.152,49.454,7,,,,,,0,0,2.424,0,36.486,77.49,119.378,5,,,,,0.71,0.71,8.173,1,450000,9.97,9.97,29.742,1,4000,5000,3500,6500,7000,350,3.371,70.919,80.206,15,0,0,8.047,0,40,1000,15,6.781,34.008,45.429,5,round,,,,160086,,
7/23/21 17:49,7/23/21 17:52,100,196,TRUE,7/23/21 17:52,R_1Or9HgYJuqdGJXm,,,,,anonymous,EN,0.400000006,projects/513998946275/assessments/dce876d070000000,0,0,3.902,0,"This study is a psychology experiment and I'm not being paid based on the correctness of my answers,I'm supposed to take my best guesses,I'm not supposed to look up answers on the internet,I'm supposed to work from information in my head and not record or write down any information I see",6.477,15.394,18.571,6,,,,,,0,0,1.363,0,,,,,0,0,71.791,0,0,0,3.067,0,39000000,2.344,2.344,8.31,1,28000,48000,250000,480000,40000,3700,1.95,26.753,29.629,5,0,0,5.428,0,58,200000,8,3.697,34.832,41.896,3,precise,,,,169446,,
